slug	company_name	job_title	primary_role	stage	next_action	suggested_intent	follow_up_due	days_since_anchor	contact_name	package_generated_on	communication_log	latest_cv_pdf	latest_cover_letter_pdf
lio-it-administration-automation-manager-all-genders	Lio	IT Administration & Automation Manager (all genders)	process_automation	package_generated	confirm_if_application_was_sent	none	no		Gabriel	2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/lio-it-administration-automation-manager-all-genders/cv/resume-le-cuong-nguyen-it-administration-automation-manager-all-genders-20260412-185317.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/lio-it-administration-automation-manager-all-genders/cover-letter/cover-letter-le-cuong-nguyen-it-administration-automation-manager-all-genders-20260412-185317.pdf
medmix-werkstudent-life-cycle-management	medmix	Werkstudent Life Cycle Management	business_analyst	closed_rejected	archive_or_reapply_later	reply	no	15	medmix Hiring Team	2026-04-03	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/medmix-werkstudent-life-cycle-management/communication-log.md	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/medmix-werkstudent-life-cycle-management/cv/resume-le-cuong-nguyen-werkstudent-life-cycle-management-20260403-211332.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/medmix-werkstudent-life-cycle-management/cover-letter/cover-letter-le-cuong-nguyen-werkstudent-life-cycle-management-20260403-211332.pdf
mercedes-benz-ag-werkstudent-in-data-ai-product-management-software-certification	Mercedes-Benz AG	Werkstudent:in Data & AI Product Management Software Certification	product_manager	package_generated	confirm_if_application_was_sent	none	no			2026-03-28		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/mercedes-benz-ag-werkstudent-in-data-ai-product-management-software-certification/cv/resume-cuong-le-nguyen-werkstudent-in-data-ai-product-management-software-certification-20260328-201540.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/mercedes-benz-ag-werkstudent-in-data-ai-product-management-software-certification/cover-letter/cover-letter-cuong-le-nguyen-werkstudent-in-data-ai-product-management-software-certification-20260328-201540.pdf
mercedes-benz-ag-working-student-process-development-for-cdcc2-0-baselayer-software	Mercedes-Benz AG	Working student Process development for CDCC2.0 Baselayer Software	business_analyst	submitted_waiting	draft_follow_up	followup	yes	8	Ms. Naeem	2026-04-05	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/mercedes-benz-ag-working-student-process-development-for-cdcc2-0-baselayer-software/communication-log.md	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/mercedes-benz-ag-working-student-process-development-for-cdcc2-0-baselayer-software/cv/resume-le-cuong-nguyen-working-student-process-development-for-cdcc2-0-baselayer-software-20260404-122825.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/mercedes-benz-ag-working-student-process-development-for-cdcc2-0-baselayer-software/cover-letter/cover-letter-le-cuong-nguyen-working-student-process-development-for-cdcc2-0-baselayer-software-20260404-122825.pdf
mercedes-benz-ag-working-student-requirements-engineering-for-cdcc2-0-baselayer-software-development	Mercedes-Benz AG	Working student Requirements Engineering for CDCC2.0 Baselayer Software Development	business_analyst	package_generated	confirm_if_application_was_sent	none	no			2026-03-28		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/mercedes-benz-ag-working-student-requirements-engineering-for-cdcc2-0-baselayer-software-development/cv/resume-cuong-le-nguyen-working-student-requirements-engineering-for-cdcc2-0-baselayer-software-development-20260328-190043.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/mercedes-benz-ag-working-student-requirements-engineering-for-cdcc2-0-baselayer-software-development/cover-letter/cover-letter-cuong-le-nguyen-working-student-requirements-engineering-for-cdcc2-0-baselayer-software-development-20260328-190043.pdf
mercedes-benz-insurance-services-gmbh-working-student-product-owner-support-insurance-platform-of-services	Mercedes-Benz Insurance Services GmbH	Working Student Product Owner Support Insurance Platform of Services	product_owner	package_generated	confirm_if_application_was_sent	none	no	4	Florian Mark Blessing	2026-03-28	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/mercedes-benz-insurance-services-gmbh-working-student-product-owner-support-insurance-platform-of-services/communication-log.md	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/mercedes-benz-insurance-services-gmbh-working-student-product-owner-support-insurance-platform-of-services/cv/resume-cuong-le-nguyen-working-student-product-owner-support-insurance-platform-of-services-20260328-175720.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/mercedes-benz-insurance-services-gmbh-working-student-product-owner-support-insurance-platform-of-services/cover-letter/cover-letter-cuong-le-nguyen-working-student-product-owner-support-insurance-platform-of-services-20260328-175720.pdf
nxtgn-management-gmbh-werkstudent-m-w-d-corporate-innovation-services-ab-15-04-2026-15-20-h	NXTGN Management GmbH	Werkstudent (m/w/d) Corporate Innovation Services | ab 15.04.2026, 15-20 h	implementation_enablement	package_generated	confirm_if_application_was_sent	none	no		Cathérine Krumm	2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/nxtgn-management-gmbh-werkstudent-m-w-d-corporate-innovation-services-ab-15-04-2026-15-20-h/cv/resume-le-cuong-nguyen-werkstudent-m-w-d-corporate-innovation-services-ab-15-04-2026-15-20-h-20260412-170213.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/nxtgn-management-gmbh-werkstudent-m-w-d-corporate-innovation-services-ab-15-04-2026-15-20-h/cover-letter/cover-letter-le-cuong-nguyen-werkstudent-m-w-d-corporate-innovation-services-ab-15-04-2026-15-20-h-20260412-170213.pdf
osapiens-gmbh-working-student-product-management-m-f-x	osapiens GmbH	Working Student - Product Management (m/f/x)	requirements_process	package_generated	confirm_if_application_was_sent	none	no			2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/osapiens-gmbh-working-student-product-management-m-f-x/cv/resume-le-cuong-nguyen-working-student-product-management-m-f-x-20260412-164936.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/osapiens-gmbh-working-student-product-management-m-f-x/cover-letter/cover-letter-le-cuong-nguyen-working-student-product-management-m-f-x-20260412-164936.pdf
philips-working-student-intern-all-genders-service-operations-analyst	Philips	Working Student / Intern (all genders) - Service Operations Analyst	workflow_operations_analyst	package_generated	confirm_if_application_was_sent	none	no			2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/philips-working-student-intern-all-genders-service-operations-analyst/cv/resume-le-cuong-nguyen-working-student-intern-all-genders-service-operations-analyst-20260412-200226.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/philips-working-student-intern-all-genders-service-operations-analyst/cover-letter/cover-letter-le-cuong-nguyen-working-student-intern-all-genders-service-operations-analyst-20260412-200226.pdf
prognum-automotive-gmbh-werkstudent-m-w-d-kunstliche-intelligenz-ki-automation-implementierung-von-ki-tools	prognum Automotive GmbH	Werkstudent (m/w/d) künstliche Intelligenz (KI) - Automation & Implementierung von KI-Tools	process_automation	package_generated	confirm_if_application_was_sent	none	no		Annica Hackenberg	2026-04-18		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/prognum-automotive-gmbh-werkstudent-m-w-d-kunstliche-intelligenz-ki-automation-implementierung-von-ki-tools/cv/resume-le-cuong-nguyen-werkstudent-m-w-d-kunstliche-intelligenz-ki-automation-implementierung-von-ki-tools-20260418-155458.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/prognum-automotive-gmbh-werkstudent-m-w-d-kunstliche-intelligenz-ki-automation-implementierung-von-ki-tools/cover-letter/cover-letter-le-cuong-nguyen-werkstudent-m-w-d-kunstliche-intelligenz-ki-automation-implementierung-von-ki-tools-20260418-155458.pdf
ratbacher-gmbh-product-owner-ai-m-w-d-ki-produkt-manager	Ratbacher GmbH	Product Owner AI (m/w/d) - KI Produkt Manager	product_manager	package_generated	confirm_if_application_was_sent	none	no		Tabea Ade	2026-04-18		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/ratbacher-gmbh-product-owner-ai-m-w-d-ki-produkt-manager/cv/resume-le-cuong-nguyen-product-owner-ai-m-w-d-ki-produkt-manager-20260418-195905.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/ratbacher-gmbh-product-owner-ai-m-w-d-ki-produkt-manager/cover-letter/cover-letter-le-cuong-nguyen-product-owner-ai-m-w-d-ki-produkt-manager-20260418-195905.pdf
realworld-one-solution-delivery-associate-working-student-intern	realworld one	Solution Delivery Associate (Working Student / Intern)	product_owner	package_generated	confirm_if_application_was_sent	none	no			2026-04-03		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/realworld-one-solution-delivery-associate-working-student-intern/cv/resume-le-cuong-nguyen-solution-delivery-associate-working-student-intern-20260403-205640.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/realworld-one-solution-delivery-associate-working-student-intern/cover-letter/cover-letter-le-cuong-nguyen-solution-delivery-associate-working-student-intern-20260403-205640.pdf
robert-bosch-gmbh	Robert Bosch GmbH	Business Analyst - eCommerce	business_analyst	package_generated	confirm_if_application_was_sent	none	no			2026-03-27		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/robert-bosch-gmbh/cv/business_analyst.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/robert-bosch-gmbh/cover-letter/cover_letter.pdf
robert-bosch-gmbh-business-analyst-ecommerce	Robert Bosch GmbH	Business Analyst - eCommerce	business_analyst	package_generated	confirm_if_application_was_sent	none	no			2026-04-05		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/robert-bosch-gmbh-business-analyst-ecommerce/cv/resume-le-cuong-nguyen-business-analyst-ecommerce-20260405-133242.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/robert-bosch-gmbh-business-analyst-ecommerce/cover-letter/cover-letter-le-cuong-nguyen-business-analyst-ecommerce-20260405-133242.pdf
robert-bosch-gmbh-working-student-internal-web-developed-applications-in-automotive-quality-environment-f-m-div	Robert Bosch GmbH	Working Student Internal Web Developed Applications in Automotive Quality Environment (f/m/div.)	business_analyst	package_generated	confirm_if_application_was_sent	none	no			2026-03-29		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/robert-bosch-gmbh-working-student-internal-web-developed-applications-in-automotive-quality-environment-f-m-div/cv/resume-cuong-le-nguyen-working-student-internal-web-developed-applications-in-automotive-quality-environment-f-m-div-20260329-095001.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/robert-bosch-gmbh-working-student-internal-web-developed-applications-in-automotive-quality-environment-f-m-div/cover-letter/cover-letter-cuong-le-nguyen-working-student-internal-web-developed-applications-in-automotive-quality-environment-f-m-div-20260329-095001.pdf
